Year,bt_anomaly_SNE_Spring,sst_anomaly_SNE_Spring,Heatwave_SNE_Spring,GSI_SNE_Spring,calfin_100m3_SNE_Spring,pseudo_100m3_SNE_Spring,Age.1_SNE_Spring,SSB_SNE_Spring,RSSB_SNE_Spring,lAGE1_SNE_Spring,Cod_Depth_Spring,Cod_Lat_Spring,K_rel_SNE_Spring
2004,-0.33916883,-0.445420801,NA,0.216219845,-3.171826768,-4.134491033,1.3326,NA,0,0.846983525,-100.93433,42.21041451,1.000757495
2005,-1.022289267,-1.069433772,8.6335,-0.146852535,-2.890419497,-4.230266931,0.0185,0,NA,0.018330957,-101.11015,42.17980771,1.119603026
2006,0.230395057,-0.646828203,68.6454,-0.229621332,-2.903153444,-4.236575902,0,NA,NA,0,-102.63836,42.14851322,NA
2007,1.106475797,0.607280638,141.8899,0.377368505,-3.493811809,-4.642827717,0,0,NA,0,-99.03012,42.18601025,NA
2008,-1.187351893,1.047002504,36.2733,-0.929670257,-3.540320022,-4.904874857,0,0,NA,0,-95.59634,42.20234521,0.974432075
2009,0.053545082,0.316559525,20.2532,0.533397839,-3.714732028,-3.813010318,0.0058,NA,0,0.005783245,-96.635925,42.21296426,0.933512093
2010,0.694506644,-0.114949255,67.3754,0.358591457,-3.14846393,-4.615589334,0.0129,NA,NA,0.012817504,-99.51474,42.20316094,0.974822148
2011,-0.322308944,-0.41811257,194.9488,0.603235352,-3.15791162,-4.583817339,0,0.025827776,NA,0,-103.32352,42.2102984,1.019179592
2012,0.866247135,-0.362088799,594.867,-0.226351831,-3.731092999,-3.717056322,0,0,0,0,-103.63295,42.24075172,NA
2013,0.799692099,2.538136661,252.9587,0.800419348,-3.745551209,-6.02248486,0,NA,NA,0,-108.24745,42.27872394,0.939560824
2014,0.993742094,1.218278465,153.5741,0.797656011,-3.649680598,-4.479856639,0,NA,NA,0,-108.0369025,42.30072365,0.99514586
2015,1.745166072,-0.003166179,176.4652,1.169831439,-4.058905031,-4.556003847,0.0053,NA,NA,0.005286004,-107.826355,42.32272336,0.969389744
2016,2.396777482,-0.133517901,455.7264,1.323979094,-4.638848346,-4.330566824,0,NA,NA,0,-104.07502,42.30840474,1.045326997
2017,1.506281645,1.834150297,287.261,1.623870131,-4.458057985,-4.709788916,0,0.037947361,NA,0,-100.78052,42.25354482,0.929377481
2018,0.816352266,1.243108019,200.6229,1.043406613,-4.002455355,-4.453129684,0,NA,0,0,-97.68573,42.19976989,1.053337291
2019,0.229734615,-0.122518087,169.5203,1.401638769,-3.364517161,-4.343057871,0,0.036260912,NA,0,-92.03056,42.08393246,0.967577717
2020,1.928817009,0.045426418,166.5375,1.753956701,NA,NA,NA,NA,NA,NA,-85.64807,42.0729538,NA
2021,,,,,,,,,,,-79.26558,42.06197513,
2022,,,,,,,,,,,-80.5869,42.12268291,0.955422437
2023,,,,,,,,,,,,,
